DeliveryTime,CustomerService,ReturnEase,Satisfaction
OnTime,Excellent,Easy,5
Late,Good,Easy,5
OnTime,Good,Easy,5
OnTime,Good,Easy,4
Early,Good,Easy,5
Early,Poor,Easy,3
Early,Good,Easy,3
OnTime,Excellent,Easy,5
OnTime,Good,Easy,5
OnTime,Excellent,Moderate,5
Early,Excellent,Easy,4
Late,Excellent,Moderate,5
OnTime,Excellent,Moderate,4
OnTime,Poor,Easy,5
Early,Good,Moderate,4
Early,Good,Difficult,5
OnTime,Excellent,Easy,5
OnTime,Excellent,Easy,2
OnTime,Excellent,Moderate,4
OnTime,Excellent,Moderate,5
OnTime,Good,Easy,3
Early,Good,Easy,5
OnTime,Good,Easy,3
OnTime,Excellent,Easy,4
OnTime,Poor,Moderate,5
OnTime,Good,Easy,5
Early,Good,Easy,5
OnTime,Good,Moderate,4
OnTime,Excellent,Easy,4
Early,Excellent,Easy,5
OnTime,Excellent,Moderate,5
Early,Good,Moderate,3
Early,Excellent,Easy,1
Late,Excellent,Easy,4
Late,Excellent,Easy,5
OnTime,Excellent,Easy,5
OnTime,Good,Easy,5
Early,Good,Easy,2
OnTime,Excellent,Easy,5
OnTime,Excellent,Easy,4
Early,Excellent,Easy,5
OnTime,Excellent,Easy,4
Early,Excellent,Easy,4
Late,Excellent,Easy,3
OnTime,Excellent,Easy,5
OnTime,Good,Moderate,5
OnTime,Good,Easy,5
OnTime,Excellent,Moderate,2
OnTime,Excellent,Moderate,3
Early,Good,Easy,4
Late,Good,Easy,4
OnTime,Good,Easy,4
Late,Good,Easy,5
OnTime,Excellent,Moderate,2
OnTime,Excellent,Easy,5
Late,Good,Easy,5
Early,Excellent,Easy,4
Early,Good,Easy,5
Early,Poor,Moderate,5
OnTime,Good,Easy,4
OnTime,Excellent,Easy,5
OnTime,Good,Difficult,4
OnTime,Excellent,Moderate,5
OnTime,Good,Easy,5
OnTime,Poor,Easy,5
OnTime,Excellent,Easy,5
Early,Poor,Easy,4
OnTime,Poor,Easy,5
Early,Excellent,Easy,4
Late,Excellent,Easy,5
OnTime,Excellent,Easy,4
Early,Excellent,Moderate,2
Early,Excellent,Easy,4
OnTime,Good,Easy,5
OnTime,Excellent,Easy,5
OnTime,Excellent,Difficult,5
OnTime,Good,Easy,4
Early,Excellent,Easy,5
OnTime,Good,Difficult,5
Early,Excellent,Moderate,4
OnTime,Excellent,Moderate,5
OnTime,Good,Easy,4
OnTime,Good,Easy,5
Early,Good,Moderate,5
OnTime,Good,Difficult,4
OnTime,Good,Easy,5
OnTime,Excellent,Easy,4
OnTime,Excellent,Easy,5
OnTime,Good,Moderate,5
OnTime,Good,Easy,3
Early,Poor,Easy,4
OnTime,Excellent,Easy,4
OnTime,Excellent,Easy,5
OnTime,Good,Easy,4
OnTime,Excellent,Easy,5
OnTime,Poor,Moderate,5
OnTime,Good,Easy,2
OnTime,Excellent,Easy,5
Early,Good,Easy,1
Early,Good,Easy,5
Early,Excellent,Easy,5
OnTime,Poor,Easy,4
OnTime,Good,Easy,3
OnTime,Good,Easy,4
Late,Excellent,Easy,3
OnTime,Good,Difficult,4
OnTime,Excellent,Easy,4
OnTime,Excellent,Moderate,3
OnTime,Poor,Easy,5
Early,Excellent,Moderate,5
OnTime,Excellent,Moderate,5
Early,Poor,Easy,1
Late,Poor,Easy,2
OnTime,Good,Easy,5
OnTime,Good,Easy,4
OnTime,Excellent,Difficult,2
OnTime,Excellent,Moderate,5
Early,Excellent,Difficult,4
OnTime,Good,Easy,2
OnTime,Good,Moderate,5
OnTime,Good,Difficult,4
OnTime,Good,Easy,5
OnTime,Excellent,Easy,2
Early,Excellent,Moderate,1
OnTime,Excellent,Easy,2
OnTime,Good,Moderate,5
OnTime,Excellent,Easy,3
OnTime,Good,Moderate,3
Early,Excellent,Easy,5
OnTime,Excellent,Easy,3
OnTime,Excellent,Easy,5
OnTime,Good,Moderate,4
Early,Good,Moderate,5
OnTime,Excellent,Easy,5
Late,Excellent,Easy,5
OnTime,Good,Moderate,4
OnTime,Excellent,Easy,5
OnTime,Good,Moderate,4
OnTime,Good,Easy,5
Late,Excellent,Easy,5
Late,Excellent,Easy,4
OnTime,Poor,Easy,4
OnTime,Excellent,Moderate,5
OnTime,Excellent,Easy,4
OnTime,Good,Easy,3
Early,Poor,Moderate,4
OnTime,Poor,Easy,5
OnTime,Good,Easy,5
Early,Excellent,Difficult,3
OnTime,Excellent,Moderate,5
Late,Good,Easy,3
OnTime,Good,Difficult,4
Early,Excellent,Moderate,2
OnTime,Poor,Easy,4
Late,Excellent,Easy,1
OnTime,Excellent,Moderate,5
OnTime,Excellent,Moderate,4
OnTime,Excellent,Easy,5
OnTime,Excellent,Moderate,5
OnTime,Excellent,Moderate,4
OnTime,Excellent,Easy,3
OnTime,Good,Easy,1
OnTime,Good,Easy,4
OnTime,Good,Moderate,5
Early,Poor,Easy,5
OnTime,Excellent,Easy,4
OnTime,Excellent,Moderate,5
Early,Good,Moderate,5
Early,Excellent,Easy,5
OnTime,Poor,Moderate,5
OnTime,Excellent,Easy,5
Early,Poor,Moderate,5
OnTime,Excellent,Easy,5
OnTime,Good,Easy,5
OnTime,Good,Moderate,1
Early,Poor,Easy,5
OnTime,Excellent,Easy,5
OnTime,Good,Moderate,4
Late,Poor,Moderate,5
Early,Good,Moderate,2
OnTime,Good,Moderate,4
Early,Good,Easy,5
Late,Excellent,Easy,5
OnTime,Good,Easy,3
OnTime,Good,Easy,2
OnTime,Poor,Difficult,5
OnTime,Excellent,Easy,4
OnTime,Excellent,Easy,5
OnTime,Poor,Easy,1
OnTime,Good,Difficult,5
Early,Excellent,Easy,2
OnTime,Good,Easy,4
Late,Excellent,Easy,4
OnTime,Excellent,Moderate,4
OnTime,Excellent,Easy,5
OnTime,Excellent,Moderate,5
OnTime,Good,Difficult,5
OnTime,Excellent,Easy,5
OnTime,Poor,Moderate,4
OnTime,Poor,Difficult,5
OnTime,Good,Moderate,5
Early,Good,Easy,1
Early,Excellent,Easy,3
OnTime,Good,Moderate,2
OnTime,Good,Easy,1
Early,Excellent,Moderate,5
Early,Poor,Difficult,5
OnTime,Good,Difficult,4
Early,Poor,Easy,4
Early,Good,Easy,5
OnTime,Good,Difficult,3
OnTime,Excellent,Moderate,5
OnTime,Poor,Easy,5
OnTime,Good,Difficult,4
OnTime,Excellent,Moderate,4
OnTime,Excellent,Easy,4
